# run_name: boltzman_run_200
# timestamp: 20260810_152324
# ---- config ----
# goal_position: (20, 0, -3)
# start_position: (0, 0, -3)
# max_episode_steps: 150
# dt: 0.5
# speed: 2.0
# state_dim: 20
# action_dim: 27
# lr: 0.0001
# gamma: 0.99
# buffer_capacity: 1000000
# batch_size: 32
# temp_start: 1.0
# temp_end: 0.05
# temp_decay_steps: 24000
# temp_schedule: linear
# target_update_freq: 250
# use_double: True
# use_dueling: True
# ----------------
episode,reward,avg10,success_rate10,steps,epsilon,elapsed_min,temperature,is_success,is_crash,is_out_of_bounds,is_timeout
81,4.0058,2.2515,20.0,150,,114.79,0.605,False,False,False,True
82,-1.4089,1.2619,20.0,150,,116.51,0.5991,False,False,False,True
83,7.9015,1.8976,30.0,131,,118.01,0.5939,True,False,False,False
84,0.6995,0.8618,20.0,150,,119.72,0.588,False,False,False,True
85,3.3407,1.2039,20.0,14,,119.92,0.5874,False,False,True,False
86,-6.4645,-0.4191,10.0,150,,121.64,0.5815,False,False,False,True
87,-1.4521,0.3048,10.0,150,,123.35,0.5755,False,False,False,True
88,-2.2301,0.425,10.0,150,,125.07,0.5696,False,False,False,True
89,3.8324,0.7979,10.0,150,,126.78,0.5637,False,False,False,True
90,0.5637,0.8788,10.0,150,,128.5,0.5577,False,False,False,True
91,-4.1458,0.0636,10.0,150,,130.22,0.5518,False,False,False,True
92,-4.0704,-0.2025,10.0,150,,131.93,0.5459,False,False,False,True
93,0.7385,-0.9188,0.0,150,,133.65,0.5399,False,False,False,True
94,-1.7319,-1.162,0.0,150,,135.36,0.534,False,False,False,True
95,-0.9995,-1.596,0.0,150,,137.08,0.528,False,False,False,True
96,-3.5425,-1.3038,0.0,150,,138.79,0.5221,False,False,False,True
97,-9.0911,-2.0677,0.0,150,,140.51,0.5162,False,False,False,True
98,-4.0141,-2.2461,0.0,150,,142.23,0.5102,False,False,False,True
99,9.8154,-1.6478,10.0,113,,143.53,0.5058,True,False,False,False
100,2.9666,-1.4075,10.0,150,,145.25,0.4998,False,False,False,True
101,4.4231,-0.5506,10.0,150,,146.97,0.4939,False,False,False,True
102,-2.2039,-0.364,10.0,150,,148.68,0.4879,False,False,False,True
103,0.0156,-0.4362,10.0,150,,150.4,0.482,False,False,False,True
104,0.6584,-0.1972,10.0,150,,152.11,0.4761,False,False,False,True
105,6.7607,0.5788,20.0,150,,153.83,0.4701,True,False,False,True
106,8.0593,1.739,30.0,137,,155.4,0.4647,True,False,False,False
107,-3.5398,2.2941,30.0,150,,157.11,0.4588,False,False,False,True
108,1.9995,2.8955,30.0,150,,158.83,0.4528,False,False,False,True
109,2.6249,2.1764,20.0,150,,160.55,0.4469,False,False,False,True
110,-4.9858,1.3812,20.0,150,,162.26,0.441,False,False,False,True
111,-3.4702,0.5919,20.0,150,,163.98,0.435,False,False,False,True
112,0.7433,0.8866,20.0,150,,165.69,0.4291,False,False,False,True
113,-2.5993,0.6251,20.0,150,,167.41,0.4232,False,False,False,True
114,-3.033,0.256,20.0,150,,169.13,0.4172,False,False,False,True
115,1.2852,-0.2916,10.0,150,,170.84,0.4113,False,False,False,True
116,-1.4238,-1.2399,0.0,150,,172.56,0.4053,False,False,False,True
117,13.0535,0.4194,10.0,64,,173.31,0.4028,True,False,False,False
118,0.4476,0.2642,10.0,150,,175.03,0.3969,False,False,False,True
119,-2.8554,-0.2838,10.0,150,,176.75,0.3909,False,False,False,True
120,-2.5212,-0.0373,10.0,150,,178.46,0.385,False,False,False,True
121,-3.4551,-0.0358,10.0,150,,180.18,0.3791,False,False,False,True
122,-1.7324,-0.2834,10.0,150,,181.89,0.3731,False,False,False,True
123,-3.8974,-0.4132,10.0,150,,183.61,0.3672,False,False,False,True
124,-2.1927,-0.3292,10.0,150,,185.32,0.3612,False,False,False,True
125,-1.1168,-0.5694,10.0,150,,187.04,0.3553,False,False,False,True
126,-2.1189,-0.6389,10.0,150,,188.76,0.3494,False,False,False,True
127,1.2283,-1.8214,0.0,150,,190.47,0.3434,False,False,False,True
128,-1.3941,-2.0056,0.0,150,,192.19,0.3375,False,False,False,True
129,-3.4678,-2.0668,0.0,150,,193.9,0.3316,False,False,False,True
130,-2.3475,-2.0494,0.0,150,,195.62,0.3256,False,False,False,True
131,3.3124,-1.3727,0.0,150,,197.33,0.3197,False,False,False,True
132,-3.6702,-1.5665,0.0,150,,199.05,0.3137,False,False,False,True
133,-4.7708,-1.6538,0.0,150,,200.76,0.3078,False,False,False,True
134,-0.5824,-1.4928,0.0,150,,202.48,0.3019,False,False,False,True
135,0.5672,-1.3244,0.0,150,,204.19,0.2959,False,False,False,True
136,1.5511,-0.9574,0.0,150,,205.91,0.29,False,False,False,True
137,-3.1205,-1.3923,0.0,150,,207.63,0.2841,False,False,False,True
138,-2.1187,-1.4647,0.0,150,,209.34,0.2781,False,False,False,True
139,2.2718,-0.8908,0.0,150,,211.06,0.2722,False,False,False,True
140,-0.4075,-0.6968,0.0,11,,211.22,0.2717,False,False,True,False
141,-0.5413,-1.0821,0.0,150,,212.94,0.2658,False,False,False,True
142,-3.5006,-1.0652,0.0,150,,214.66,0.2599,False,False,False,True
143,-1.2856,-0.7167,0.0,150,,216.37,0.2539,False,False,False,True
144,-5.6322,-1.2216,0.0,150,,218.09,0.248,False,False,False,True
145,0.9687,-1.1815,0.0,150,,219.81,0.2421,False,False,False,True
146,1.1393,-1.2227,0.0,150,,221.52,0.2361,False,False,False,True
147,-5.2266,-1.4333,0.0,150,,223.24,0.2302,False,False,False,True
148,-0.618,-1.2832,0.0,150,,224.95,0.2242,False,False,False,True
149,-2.5911,-1.7695,0.0,150,,226.67,0.2183,False,False,False,True
150,2.28,-1.5007,0.0,150,,228.38,0.2124,False,False,False,True
151,-2.346,-1.6812,0.0,150,,230.1,0.2064,False,False,False,True
152,-2.1708,-1.5482,0.0,150,,231.81,0.2005,False,False,False,True
153,-4.7632,-1.896,0.0,150,,233.53,0.1946,False,False,False,True
154,-1.2572,-1.4585,0.0,132,,235.05,0.1893,False,False,True,False
155,4.2166,-1.1337,0.0,150,,236.76,0.1834,False,False,False,True
156,6.079,-0.6397,0.0,47,,237.33,0.1815,False,False,True,False
157,2.6877,0.1517,0.0,150,,239.05,0.1756,False,False,False,True
158,3.8138,0.5949,0.0,150,,240.76,0.1697,False,False,False,True
159,1.3535,0.9893,0.0,150,,242.48,0.1637,False,False,False,True
160,1.6296,0.9243,0.0,150,,244.19,0.1578,False,False,False,True
161,1.4494,1.3038,0.0,150,,245.91,0.1518,False,False,False,True
162,0.4167,1.5626,0.0,11,,246.07,0.1514,False,False,True,False
