# run_name: boltzmann_random_start_goal_depth_200
# timestamp: 20260812_175035
# ---- config ----
# goal_position: (20, 0, -3)
# start_position: (0, 0, -3)
# max_episode_steps: 150
# dt: 0.5
# speed: 2.0
# state_dim: 20
# action_dim: 27
# lr: 0.0001
# gamma: 0.99
# buffer_capacity: 1000000
# batch_size: 32
# temp_start: 1.0
# temp_end: 0.05
# temp_decay_steps: 24000
# temp_schedule: linear
# target_update_freq: 250
# use_double: True
# use_dueling: True
# ----------------
episode,reward,avg10,success_rate10,steps,epsilon,elapsed_min,temperature,start_position,goal_position,is_success,is_crash,is_out_of_bounds,is_timeout
36,-2.5277,-6.9592,0.0,25,,23.07,0.8546,(-0.394, 0.135, -2.831),(19.377, -0.606, -5.6),False,False,True,False
37,-12.619,-8.1343,0.0,150,,23.92,0.8486,(0.482, -0.44, -2.304),(19.947, 0.44, -1.515),False,False,False,True
38,-12.3032,-8.1895,0.0,150,,24.77,0.8427,(0.167, 0.294, -2.086),(21.092, -0.495, -5.017),False,False,False,True
39,-2.0857,-7.1825,0.0,27,,24.93,0.8416,(-0.407, -0.049, -3.133),(19.796, 2.089, -1.296),False,False,True,False
40,-1.5164,-7.2334,0.0,14,,25.02,0.8411,(0.747, 0.11, -3.211),(19.415, -1.793, -2.829),False,False,True,False
# [18:17:49] [greedy-eval @ episode 40] success_rate=0.0% over 5 episodes
41,-11.5109,-7.0807,0.0,150,,28.0,0.8351,(0.402, 0.35, -3.105),(19.039, 1.943, -4.031),False,False,False,True
42,-12.2562,-8.1911,0.0,150,,28.85,0.8292,(-0.11, -0.674, -2.29),(18.973, 0.278, -3.218),False,False,False,True
43,-14.7836,-8.5008,0.0,150,,29.7,0.8233,(-0.204, -0.123, -3.717),(19.332, 2.482, -2.432),False,False,False,True
44,-12.2112,-9.6263,0.0,150,,30.54,0.8173,(0.583, 0.068, -3.709),(19.412, 2.048, -3.506),False,False,False,True
45,-12.0622,-9.3876,0.0,150,,31.39,0.8114,(0.046, -0.127, -2.676),(20.848, 0.184, -4.419),False,False,False,True
46,-13.0044,-10.4353,0.0,150,,32.24,0.8054,(0.769, -0.52, -3.035),(19.555, 0.128, -1.021),False,False,False,True
47,-13.6061,-10.534,0.0,150,,33.08,0.7995,(-0.176, 0.339, -2.993),(20.671, -2.282, -3.333),False,False,False,True
48,-14.1042,-10.7141,0.0,150,,33.87,0.7936,(-0.695, 0.443, -3.434),(20.803, 2.335, -3.633),False,False,False,True
49,-5.441,-11.0496,0.0,73,,34.29,0.7907,(-0.254, 0.002, -2.054),(19.951, 1.071, -5.679),False,False,True,False
50,-12.0732,-12.1053,0.0,150,,35.14,0.7847,(-0.668, 0.232, -2.584),(17.177, 0.056, -3.891),False,False,False,True
51,-14.1079,-12.365,0.0,150,,35.98,0.7788,(-0.196, 0.365, -3.064),(20.373, 1.624, -4.399),False,False,False,True
52,-12.9625,-12.4356,0.0,150,,36.83,0.7729,(-0.239, 0.693, -3.009),(20.489, 2.099, -4.963),False,False,False,True
53,-9.7261,-11.9299,0.0,112,,37.47,0.7684,(0.303, -0.612, -2.827),(19.788, -2.39, -1.542),False,False,True,False
54,-13.2177,-12.0305,0.0,150,,38.31,0.7625,(-0.561, 0.518, -2.873),(18.971, -0.007, -2.611),False,False,False,True
55,-8.2135,-11.6456,0.0,96,,38.86,0.7587,(-0.925, -0.07, -2.783),(20.332, -2.155, -4.881),False,False,True,False
56,-14.8801,-11.8332,0.0,150,,39.7,0.7528,(-0.074, 0.961, -3.212),(17.482, -0.295, -3.975),False,False,False,True
57,-11.3482,-11.6074,0.0,150,,40.55,0.7468,(0.367, -0.634, -2.514),(19.771, -0.079, -1.492),False,False,False,True
58,-5.2528,-10.7223,0.0,64,,40.92,0.7443,(-0.731, -0.07, -2.637),(21.402, -0.93, -2.641),False,False,True,False
59,-13.8034,-11.5585,0.0,150,,41.76,0.7384,(-0.809, 0.512, -2.853),(18.853, 2.127, -1.512),False,False,False,True
60,-14.346,-11.7858,0.0,150,,42.61,0.7324,(-0.44, -0.071, -2.344),(18.637, -1.235, -2.987),False,False,False,True
# [18:35:56] [greedy-eval @ episode 60] success_rate=0.0% over 5 episodes
61,-13.1082,-11.6858,0.0,150,,46.11,0.7265,(0.645, 0.115, -3.077),(20.785, 1.06, -1.0),False,False,False,True
62,-13.0704,-11.6966,0.0,150,,46.96,0.7205,(-0.466, -0.643, -2.582),(20.768, 0.928, -3.869),False,False,False,True
63,-12.0788,-11.9319,0.0,150,,47.8,0.7146,(0.288, 0.516, -3.391),(21.217, 1.398, -3.687),False,False,False,True
64,-5.3717,-11.1473,0.0,60,,48.15,0.7122,(-0.661, -0.538, -2.652),(19.768, 0.119, -3.347),False,False,True,False
65,-0.4359,-10.3696,0.0,7,,48.2,0.712,(-0.867, -0.156, -2.78),(20.936, -1.395, -1.167),False,False,True,False
66,-12.7662,-10.1582,0.0,150,,49.05,0.706,(0.502, -0.768, -3.229),(19.942, 0.629, -2.944),False,False,False,True
67,-13.0443,-10.3278,0.0,150,,49.89,0.7001,(0.347, 0.394, -3.846),(19.26, 0.141, -5.821),False,False,False,True
68,-11.1882,-10.9213,0.0,150,,50.74,0.6941,(-0.343, 0.322, -3.737),(21.77, -0.192, -4.127),False,False,False,True
69,-13.845,-10.9255,0.0,150,,51.59,0.6882,(-0.364, 0.666, -2.65),(20.539, -1.35, -3.913),False,False,False,True
70,-17.3533,-11.2262,0.0,150,,52.43,0.6823,(-0.718, 0.458, -3.511),(18.52, -0.496, -5.532),False,False,False,True
71,-3.6288,-10.2783,0.0,43,,52.68,0.6806,(0.012, -0.518, -3.551),(21.835, 0.13, -3.428),False,False,True,False
72,-0.8733,-9.0586,0.0,10,,52.75,0.6802,(0.192, 0.224, -2.9),(20.832, 0.176, -1.0),False,False,True,False
73,-13.9182,-9.2425,0.0,150,,53.59,0.6742,(-0.802, 0.372, -2.831),(21.145, 0.245, -3.984),False,False,False,True
74,-4.2014,-9.1255,0.0,56,,53.92,0.672,(0.911, -0.104, -3.233),(20.836, 2.293, -2.88),False,False,True,False
75,-11.2215,-10.204,0.0,150,,54.76,0.6661,(0.101, -0.782, -3.184),(19.884, -1.407, -4.573),False,False,False,True
76,-13.4192,-10.2693,0.0,150,,55.61,0.6601,(-0.283, 0.296, -3.595),(20.671, -2.701, -3.495),False,False,False,True
77,-14.1324,-10.3781,0.0,150,,56.46,0.6542,(0.337, -0.34, -3.784),(20.083, 0.244, -4.931),False,False,False,True
78,-12.0357,-10.4629,0.0,150,,57.3,0.6483,(0.697, -0.14, -3.035),(20.34, -0.046, -4.285),False,False,False,True
79,-11.4624,-10.2246,0.0,150,,58.15,0.6423,(0.14, 0.595, -2.406),(19.785, -0.287, -5.947),False,False,False,True
80,-12.5049,-9.7398,0.0,150,,59.0,0.6364,(-0.444, -0.128, -3.411),(20.576, -1.099, -1.555),False,False,False,True
# [18:53:08] [greedy-eval @ episode 80] success_rate=0.0% over 5 episodes
81,-12.6555,-10.6424,0.0,150,,63.32,0.6304,(0.426, 0.542, -3.062),(18.919, 0.699, -3.976),False,False,False,True
82,-11.8025,-11.7354,0.0,150,,64.17,0.6245,(0.169, -0.581, -3.004),(21.032, -1.644, -1.763),False,False,False,True
83,-12.0014,-11.5437,0.0,150,,65.02,0.6186,(0.227, 0.625, -2.633),(19.77, -0.059, -2.936),False,False,False,True
84,-11.1226,-12.2358,0.0,148,,65.85,0.6127,(0.321, -0.193, -3.761),(20.384, 1.705, -2.963),False,False,True,False
85,-12.2086,-12.3345,0.0,150,,66.7,0.6068,(0.446, -0.874, -3.146),(18.465, -0.818, -4.676),False,False,False,True
86,-1.5301,-11.1456,0.0,16,,66.8,0.6061,(0.179, -0.339, -2.891),(19.104, 1.088, -2.819),False,False,True,False
87,-1.5934,-9.8917,0.0,14,,66.89,0.6056,(-0.216, -0.501, -2.374),(20.698, 1.156, -4.16),False,False,True,False
88,-12.8019,-9.9683,0.0,150,,67.73,0.5997,(-0.32, -0.562, -2.432),(18.455, -0.432, -1.699),False,False,False,True
89,-2.5189,-9.074,0.0,26,,67.89,0.5986,(0.698, 0.082, -2.821),(20.883, -1.247, -3.787),False,False,True,False
90,-2.7488,-8.0984,0.0,32,,68.08,0.5974,(-0.153, 0.704, -2.436),(19.59, 2.404, -2.564),False,False,True,False
91,-11.1944,-7.9523,0.0,150,,68.92,0.5914,(0.108, -0.132, -2.542),(22.06, -1.237, -4.167),False,False,False,True
92,-1.9316,-6.9652,0.0,24,,69.07,0.5905,(0.849, -0.194, -3.438),(18.225, 0.87, -2.007),False,False,True,False
93,-13.0588,-7.0709,0.0,150,,69.92,0.5845,(-0.437, 0.511, -3.065),(21.017, -0.456, -2.385),False,False,False,True
94,-1.7707,-6.1357,0.0,22,,70.05,0.5837,(-0.229, -0.051, -3.493),(18.934, -2.41, -1.84),False,False,True,False
95,-3.9513,-5.31,0.0,46,,70.32,0.5818,(-0.586, -0.129, -3.521),(20.704, -1.814, -2.883),False,False,True,False
96,-1.496,-5.3066,0.0,17,,70.42,0.5812,(0.387, -0.546, -2.357),(20.943, 1.209, -2.096),False,False,True,False
97,-5.2001,-5.6673,0.0,61,,70.77,0.5788,(0.291, -0.592, -2.885),(21.095, -1.737, -3.668),False,False,True,False
98,-11.5197,-5.539,0.0,150,,71.62,0.5728,(-0.501, 0.602, -2.936),(20.039, -0.404, -4.684),False,False,False,True
99,-11.3161,-6.4188,0.0,150,,72.47,0.5669,(-0.125, -0.817, -3.425),(18.265, -0.662, -3.87),False,False,False,True
100,-12.5425,-7.3981,0.0,150,,73.31,0.5609,(-0.777, -0.193, -3.347),(20.578, 0.196, -1.587),False,False,False,True
# [19:07:25] [greedy-eval @ episode 100] success_rate=0.0% over 5 episodes
101,-2.37,-6.5157,0.0,28,,76.91,0.5598,(0.16, -0.209, -2.774),(18.133, -1.589, -3.002),False,False,True,False
102,-0.9776,-6.4203,0.0,11,,76.99,0.5594,(-0.669, 0.37, -2.572),(22.502, -0.252, -1.703),False,False,True,False
103,-2.9627,-5.4107,0.0,33,,77.18,0.5581,(-0.053, 0.531, -3.001),(18.836, 0.682, -2.537),False,False,True,False
104,-13.9106,-6.6247,0.0,150,,78.03,0.5522,(-0.632, 0.417, -2.828),(20.742, -1.041, -4.244),False,False,False,True
105,-11.2166,-7.3512,0.0,150,,78.87,0.5462,(0.296, 0.354, -2.559),(19.888, -2.338, -4.647),False,False,False,True
106,-1.7539,-7.377,0.0,23,,79.01,0.5453,(-0.235, -0.73, -3.475),(22.145, 1.613, -2.061),False,False,True,False
107,-11.2376,-7.9807,0.0,150,,79.86,0.5394,(-0.243, 0.004, -2.614),(21.384, 1.647, -4.6),False,False,False,True
108,-2.7019,-7.099,0.0,31,,80.04,0.5381,(-0.369, -0.321, -3.333),(21.678, 1.637, -4.177),False,False,True,False
109,-3.5875,-6.3261,0.0,50,,80.33,0.5362,(0.195, -0.349, -3.663),(21.358, 0.227, -1.0),False,False,True,False
110,-7.0106,-5.7729,0.0,98,,80.89,0.5323,(0.577, -0.105, -3.254),(20.335, 0.278, -1.0),False,False,True,False
111,-11.3241,-6.6683,0.0,150,,81.74,0.5263,(0.829, 0.553, -3.023),(19.208, -0.657, -1.636),False,False,False,True
112,-11.5394,-7.7245,0.0,150,,82.58,0.5204,(0.468, -0.308, -3.552),(22.498, -1.155, -4.057),False,False,False,True
113,-11.8258,-8.6108,0.0,150,,83.43,0.5145,(-0.279, -0.452, -3.094),(21.488, 0.879, -4.865),False,False,False,True
114,-11.1927,-8.339,0.0,144,,84.24,0.5088,(-0.206, -0.078, -2.071),(18.476, -0.803, -2.794),False,False,True,False
115,-0.4212,-7.2595,0.0,5,,84.28,0.5086,(-0.504, -0.183, -2.349),(18.826, 0.424, -1.0),False,False,True,False
116,-9.3244,-8.0165,0.0,150,,85.13,0.5026,(0.581, -0.727, -3.221),(18.783, 1.643, -4.917),False,False,False,True
117,-11.7317,-8.0659,0.0,150,,85.97,0.4967,(-0.243, -0.354, -3.075),(18.282, -2.074, -3.298),False,False,False,True
118,-17.3132,-9.5271,0.0,150,,86.82,0.4908,(-0.666, -0.728, -2.986),(21.641, -1.697, -3.605),False,False,False,True
119,-2.9019,-9.4585,0.0,39,,87.05,0.4892,(0.897, -0.166, -2.919),(18.178, -1.952, -1.676),False,False,True,False
120,-6.2543,-9.3829,0.0,90,,87.56,0.4857,(0.39, 0.361, -3.469),(19.416, -1.811, -1.566),False,False,True,False
# [19:22:27] [greedy-eval @ episode 120] success_rate=0.0% over 5 episodes
121,-0.6401,-8.3145,0.0,7,,91.84,0.4854,(0.753, -0.078, -3.392),(20.109, 2.761, -2.177),False,False,True,False
122,-7.5327,-7.9138,0.0,97,,92.39,0.4815,(-0.147, -0.254, -2.056),(21.501, 2.004, -2.558),False,False,True,False
123,-11.1048,-7.8417,0.0,150,,93.24,0.4756,(0.213, 0.214, -3.65),(21.89, 0.364, -3.005),False,False,False,True
124,-10.681,-7.7905,0.0,150,,94.09,0.4697,(0.66, -0.286, -2.9),(20.52, -1.914, -3.73),False,False,False,True
125,-12.1748,-8.9659,0.0,150,,94.93,0.4637,(-0.34, -0.224, -2.767),(18.344, -0.536, -4.991),False,False,False,True
126,-10.7998,-9.1134,0.0,150,,95.78,0.4578,(-0.227, -0.738, -3.34),(19.292, -0.222, -5.711),False,False,False,True
127,-12.9632,-9.2366,0.0,150,,96.62,0.4519,(-0.876, 0.259, -2.96),(19.678, 0.061, -2.236),False,False,False,True
128,-11.3658,-8.6418,0.0,150,,97.47,0.4459,(-0.17, -0.304, -3.597),(19.448, 1.135, -5.018),False,False,False,True
129,-10.0551,-9.3572,0.0,150,,98.32,0.44,(0.743, 0.058, -3.16),(19.706, -2.233, -3.034),False,False,False,True
130,-9.8189,-9.7136,0.0,120,,99.0,0.4352,(0.049, 0.478, -2.515),(19.473, 1.068, -4.773),False,False,True,False
131,-7.1726,-10.3669,0.0,96,,99.54,0.4314,(0.366, -0.485, -3.385),(19.585, -1.039, -2.317),False,False,True,False
132,-1.0665,-9.7202,0.0,16,,99.64,0.4308,(0.257, -0.725, -3.432),(17.905, -0.026, -1.297),False,False,True,False
133,-5.3217,-9.1419,0.0,61,,100.0,0.4284,(-0.609, 0.006, -2.69),(19.881, 0.512, -3.713),False,False,True,False
134,-14.2457,-9.4984,0.0,150,,100.84,0.4224,(-0.748, -0.095, -3.057),(19.243, -1.651, -1.451),False,False,False,True
135,-11.6165,-9.4426,0.0,150,,101.69,0.4165,(-0.438, -0.244, -2.696),(20.79, -1.979, -4.026),False,False,False,True
136,-9.6716,-9.3298,0.0,150,,102.53,0.4106,(0.573, 0.074, -3.373),(21.926, -1.006, -4.076),False,False,False,True
137,-7.2781,-8.7613,0.0,101,,103.11,0.4066,(-0.771, -0.109, -3.186),(18.824, -1.892, -1.835),False,False,True,False
138,-12.154,-8.8401,0.0,150,,103.96,0.4006,(-0.341, 0.577, -2.39),(20.046, -0.229, -4.541),False,False,False,True
139,-9.9271,-8.8273,0.0,150,,104.8,0.3947,(0.601, -0.237, -2.62),(21.109, -1.249, -2.455),False,False,False,True
140,-10.9468,-8.9401,0.0,150,,105.65,0.3888,(0.275, 0.308, -3.6),(18.495, 1.711, -4.627),False,False,False,True
# [19:40:32] [greedy-eval @ episode 140] success_rate=0.0% over 5 episodes
141,-4.355,-8.6583,0.0,53,,110.19,0.3867,(-0.081, -0.902, -3.371),(20.352, -0.988, -4.469),False,False,True,False
142,-9.3461,-9.4863,0.0,150,,111.03,0.3807,(0.921, -0.197, -2.933),(20.706, -0.587, -5.025),False,False,False,True
143,-12.4196,-10.1961,0.0,150,,111.88,0.3748,(-0.442, -0.635, -3.136),(20.019, -2.572, -3.072),False,False,False,True
144,-4.2036,-9.1919,0.0,66,,112.26,0.3722,(0.489, -0.475, -2.809),(18.428, -0.205, -1.364),False,False,True,False
