step,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dist_to_goal,has_collided,is_out_of_bounds
1,-0.9587821960449219,0.3557509779930115,-2.568769693374634,-0.3162221610546112,0.25854676961898804,0.048680078238248825,95.92123100142803,False,False
2,-0.8973265886306763,0.41794872283935547,-2.7121360301971436,0.5899233818054199,-0.06025102734565735,-0.3112502694129944,95.87914218958048,False,False
3,-0.4220583438873291,0.3103293478488922,-2.8079419136047363,1.2336840629577637,-0.34124961495399475,-0.10273253917694092,95.39218950718431,False,False
4,0.2938483655452728,0.09647625684738159,-2.841141700744629,1.5678989887237549,-0.49014604091644287,-0.044957052916288376,94.64487409944094,False,False
5,1.1296496391296387,-0.17104308307170868,-2.860734701156616,1.7288905382156372,-0.5626204013824463,-0.036258671432733536,93.76717069441015,False,False
6,2.022578239440918,-0.46439793705940247,-2.8791275024414062,1.8049348592758179,-0.5972172021865845,-0.03720468655228615,92.82713304312794,False,False
7,2.9424140453338623,-0.7700549364089966,-2.89839768409729,1.840664029121399,-0.6136586666107178,-0.039168935269117355,91.85765995805052,False,False
8,3.87488055229187,-1.081554651260376,-2.9185471534729004,1.8574198484420776,-0.6214630007743835,-0.040642742067575455,90.87433701118456,False,False
9,4.813266277313232,-1.3958271741867065,-2.9392974376678467,1.8652715682983398,-0.6251672506332397,-0.04158357158303261,89.8845081225866,False,False
10,5.754426002502441,-1.7114158868789673,-2.9604201316833496,1.868947982788086,-0.6269260048866272,-0.04215843975543976,88.89162286364336,False,False
11,6.696883678436279,-2.027630090713501,-2.98177170753479,1.8706692457199097,-0.627761960029602,-0.042507026344537735,87.89730321611943,False,False
12,7.639949321746826,-2.3441414833068848,-3.0032591819763184,1.8714747428894043,-0.6281595826148987,-0.04272172600030899,86.90230970413927,False,False
13,8.583283424377441,-2.6607935428619385,-3.0248348712921143,1.8718514442443848,-0.6283491253852844,-0.04285767674446106,85.90701499264735,False,False
14,9.526795387268066,-2.977515697479248,-3.0464611053466797,1.872026801109314,-0.6284399032592773,-0.04294842481613159,84.91152826757697,False,False
15,10.470314979553223,-3.2942652702331543,-3.068128824234009,1.8721086978912354,-0.6284838318824768,-0.04301314428448677,83.9160246505273,False,False
16,11.413834571838379,-3.611032485961914,-3.0898337364196777,1.8721458911895752,-0.6285062432289124,-0.043062396347522736,82.92051458061427,False,False
17,12.357354164123535,-3.9278221130371094,-3.1115431785583496,1.8721659183502197,-0.6285162568092346,-0.04310307279229164,81.92499729222597,False,False
18,13.300873756408691,-4.2445807456970215,-3.1332900524139404,1.8721678256988525,-0.6285215616226196,-0.043139874935150146,80.92948902299887,False,False
19,14.244393348693848,-4.561330318450928,-3.1550395488739014,1.8721678256988525,-0.6285215616226196,-0.04317331686615944,79.93398359484284,False,False
20,15.187912940979004,-4.878079891204834,-3.1768243312835693,1.8721678256988525,-0.6285232901573181,-0.043206147849559784,78.93847737066014,False,False
21,16.131454467773438,-5.19482946395874,-3.1986138820648193,1.8721678256988525,-0.6285239458084106,-0.043237507343292236,77.94295026693952,False,False
22,17.07513427734375,-5.5115790367126465,-3.2204034328460693,1.8721678256988525,-0.6285271644592285,-0.043269556015729904,76.94729212834226,False,False
23,18.018814086914062,-5.828328609466553,-3.242231607437134,1.8721678256988525,-0.6285305023193359,-0.04330163076519966,75.95163311600395,False,False
24,18.962493896484375,-6.145078182220459,-3.264061212539673,1.8721678256988525,-0.6285334825515747,-0.043333861976861954,74.95597409021647,False,False
25,19.906173706054688,-6.4618682861328125,-3.2859268188476562,1.8721678256988525,-0.628537654876709,-0.04336625337600708,73.96030135130255,False,False
26,20.849853515625,-6.778697967529297,-3.3077964782714844,1.8721678256988525,-0.628537654876709,-0.043398790061473846,72.96461594261083,False,False
27,21.793533325195312,-7.095527648925781,-3.3296947479248047,1.8721678256988525,-0.6285396814346313,-0.04343161731958389,71.96892989045672,False,False
28,22.737213134765625,-7.412357330322266,-3.351604461669922,1.8721678256988525,-0.6285417079925537,-0.04346517473459244,70.97324359293282,False,False
29,23.680892944335938,-7.72918701171875,-3.373514175415039,1.8721678256988525,-0.6285426020622253,-0.04349863901734352,69.97755731630824,False,False
