step,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dist_to_goal,has_collided,is_out_of_bounds
1,-0.9511629939079285,-0.32546189427375793,-2.581974983215332,-0.3963593542575836,0.051577430218458176,0.055103883147239685,87.0204946552356,False,False
2,-0.9543763995170593,-0.17466776072978973,-2.7194759845733643,0.4185447096824646,0.5373455286026001,-0.29028433561325073,86.93228171932967,False,False
3,-0.5785720944404602,0.1818006932735443,-2.8094940185546875,1.016019344329834,0.8452308773994446,-0.09944973140954971,86.4175105954204,False,False
4,0.02167028933763504,0.651569128036499,-2.842987537384033,1.3295845985412598,1.0001752376556396,-0.04794963449239731,85.65563006237834,False,False
5,0.7349614500999451,1.1765118837356567,-2.8645360469818115,1.4823683500289917,1.0737141370773315,-0.04066721349954605,84.76991661817762,False,False
6,1.502750277519226,1.7274489402770996,-2.885249614715576,1.5553983449935913,1.1081658601760864,-0.041910722851753235,83.82472531747126,False,False
7,2.2965164184570312,2.2905426025390625,-2.906912088394165,1.59012770652771,1.124257206916809,-0.04393288493156433,82.85128261675922,False,False
8,3.102621078491211,2.859311819076538,-2.92946720123291,1.6066111326217651,1.1317696571350098,-0.04541361704468727,81.86446661897796,False,False
9,3.9145824909210205,3.430732011795044,-2.952622890472412,1.6144238710403442,1.135282278060913,-0.04635255038738251,80.87132298494413,False,False
10,4.729316234588623,4.003394603729248,-2.9761500358581543,1.6181191205978394,1.1369324922561646,-0.04692535474896431,79.87518911315289,False,False
11,5.545359134674072,4.576642990112305,-2.9999048709869385,1.6198601722717285,1.1377174854278564,-0.0472739115357399,78.8776424067743,False,False
12,6.3620171546936035,5.150168418884277,-3.023796319961548,1.6206729412078857,1.1381003856658936,-0.047489605844020844,77.87943011128776,False,False
13,7.178962707519531,5.723841190338135,-3.047776460647583,1.6210453510284424,1.1382969617843628,-0.047628626227378845,76.8808958206733,False,False
14,7.996036529541016,6.297579288482666,-3.0718069076538086,1.6212079524993896,1.138407588005066,-0.04772268235683441,75.88221788201662,False,False
15,8.81314468383789,6.871380805969238,-3.095879554748535,1.6212706565856934,1.1384791135787964,-0.0477919727563858,74.88347435672772,False,False
16,9.630252838134766,7.445199012756348,-3.1199898719787598,1.621285080909729,1.1385327577590942,-0.047845855355262756,73.88472032519925,False,False
17,10.44736099243164,8.019020080566406,-3.1441330909729004,1.62127685546875,1.1385728120803833,-0.047892164438962936,72.88596387333888,False,False
18,11.264469146728516,8.592918395996094,-3.168285846710205,1.6212574243545532,1.1386128664016724,-0.04793345555663109,71.88716275049119,False,False
19,12.08157730102539,9.166816711425781,-3.192472457885742,1.6212373971939087,1.1386529207229614,-0.04797307774424553,70.88836083046988,False,False
20,12.898685455322266,9.740715026855469,-3.216665267944336,1.6212173700332642,1.1386929750442505,-0.04801095649600029,69.88955881993849,False,False
21,13.71579360961914,10.314613342285156,-3.240891456604004,1.6211858987808228,1.1387330293655396,-0.04804857447743416,68.89075602745821,False,False
22,14.532901763916016,10.888511657714844,-3.2651243209838867,1.6211552619934082,1.1387730836868286,-0.04808616638183594,67.89195313659594,False,False
23,15.35000991821289,11.462409973144531,-3.289388418197632,1.6211241483688354,1.1388131380081177,-0.048124220222234726,66.89314952221353,False,False
24,16.167118072509766,12.036434173583984,-3.3136613368988037,1.6210919618606567,1.1388531923294067,-0.048162322491407394,65.89427323343355,False,False
25,16.98422622680664,12.610492706298828,-3.337963342666626,1.6210602521896362,1.1388959884643555,-0.04820077493786812,64.8953764939111,False,False
26,17.801334381103516,13.184551239013672,-3.362276315689087,1.6210280656814575,1.1389392614364624,-0.0482398122549057,63.89647954881652,False,False
27,18.61844253540039,13.758609771728516,-3.386617422103882,1.620995044708252,1.1389846801757812,-0.048279423266649246,62.89758196074363,False,False
28,19.435550689697266,14.33266830444336,-3.410970449447632,1.6209611892700195,1.1390305757522583,-0.048319827765226364,61.898684147949076,False,False
29,20.25265884399414,14.906726837158203,-3.4353535175323486,1.6209264993667603,1.1390788555145264,-0.04836064949631691,60.89978564813644,False,False
30,21.06972312927246,15.480785369873047,-3.4597465991973877,1.6208909749984741,1.1391277313232422,-0.048402294516563416,59.90092281313794,False,False
31,21.886510848999023,16.054962158203125,-3.4841723442077637,1.620854377746582,1.1391775608062744,-0.048444099724292755,58.902216985836574,False,False
32,22.703298568725586,16.629180908203125,-3.508605480194092,1.6208198070526123,1.1392245292663574,-0.04848610609769821,57.903486861762104,False,False
33,23.52008628845215,17.203399658203125,-3.5330729484558105,1.6207857131958008,1.1392700672149658,-0.04852991923689842,56.90475593117887,False,False
34,24.33687400817871,17.777618408203125,-3.5575461387634277,1.6207510232925415,1.1393166780471802,-0.04857379570603371,55.90602493411699,False,False
35,25.153661727905273,18.351837158203125,-3.5820555686950684,1.6207152605056763,1.1393650770187378,-0.048619434237480164,54.907293086495436,False,False
36,25.970449447631836,18.926055908203125,-3.6065688133239746,1.6206783056259155,1.1394151449203491,-0.04866505414247513,53.908561228580965,False,False
37,26.7872371673584,19.500274658203125,-3.631119966506958,1.6206402778625488,1.1394667625427246,-0.048712700605392456,52.909828483007516,False,False
38,27.60402488708496,20.074493408203125,-3.6557044982910156,1.6206016540527344,1.1395204067230225,-0.04876032471656799,51.911094969635386,False,False
39,28.420812606811523,20.648712158203125,-3.6802978515625,1.620562195777893,1.139575481414795,-0.048808980733156204,50.91236132817341,False,False
40,29.237600326538086,21.2230224609375,-3.7049272060394287,1.620522141456604,1.1396323442459106,-0.048859111964702606,49.91357407523942,False,False
41,30.05438804626465,21.797561645507812,-3.729560613632202,1.620482087135315,1.1396903991699219,-0.04890947416424751,48.9146548565128,False,False
42,30.87117576599121,22.372100830078125,-3.75423264503479,1.6204420328140259,1.1397475004196167,-0.04896248131990433,47.91573473069176,False,False
43,31.687963485717773,22.946640014648438,-3.7789416313171387,1.6204019784927368,1.139804482460022,-0.04901532083749771,46.91681374420524,False,False
44,32.504554748535156,23.52117919921875,-3.8036551475524902,1.6203619241714478,1.1398628950119019,-0.04906914010643959,45.91805316660824,False,False
45,33.321022033691406,24.095718383789062,-3.8284072875976562,1.6203218698501587,1.1399216651916504,-0.049124881625175476,44.91939291874579,False,False
46,34.137489318847656,24.670257568359375,-3.8531970977783203,1.6202749013900757,1.139980435371399,-0.049181435257196426,43.92073178927652,False,False
47,34.953956604003906,25.244796752929688,-3.8780221939086914,1.6202300786972046,1.140039324760437,-0.0492386557161808,42.92206984425569,False,False
48,35.770423889160156,25.8193359375,-3.90285587310791,1.620182991027832,1.1400994062423706,-0.04929918423295021,41.923407786896696,False,False
49,36.586891174316406,26.393875122070312,-3.927727460861206,1.6201342344284058,1.1401594877243042,-0.049359481781721115,40.924744856230646,False,False
50,37.403358459472656,26.968414306640625,-3.952637195587158,1.6200833320617676,1.140228509902954,-0.04942072555422783,39.926081051316025,False,False
51,38.219825744628906,27.54316520690918,-3.97758412361145,1.620030164718628,1.1403001546859741,-0.049483511596918106,38.92729426572334,False,False
52,39.036293029785156,28.118024826049805,-4.002542018890381,1.6199766397476196,1.1403721570968628,-0.04954755678772926,37.92844459340223,False,False
53,39.852760314941406,28.69288444519043,-4.027535915374756,1.619923710823059,1.1404436826705933,-0.04961526393890381,36.92959409863945,False,False
54,40.669227600097656,29.267744064331055,-4.052596569061279,1.6198699474334717,1.1405165195465088,-0.04968425631523132,35.9307419770022,False,False
55,41.485694885253906,29.84260368347168,-4.077670574188232,1.6198137998580933,1.1405917406082153,-0.04975349083542824,34.93188964267669,False,False
56,42.302162170410156,30.417463302612305,-4.1027445793151855,1.6197552680969238,1.140669822692871,-0.04982626810669899,33.93303745951344,False,False
57,43.118629455566406,30.99232292175293,-4.127896308898926,1.6196962594985962,1.1407488584518433,-0.04990288242697716,32.93418338301549,False,False
58,43.935096740722656,31.567182540893555,-4.153050422668457,1.6196361780166626,1.1408389806747437,-0.04997970908880234,31.93532941716381,False,False
59,44.751564025878906,32.142120361328125,-4.178281784057617,1.6195650100708008,1.1409330368041992,-0.0500609390437603,30.93642844859431,False,False
60,45.568031311035156,32.71697998046875,-4.203516006469727,1.6194911003112793,1.1410298347473145,-0.050142668187618256,29.93757274339432,False,False
61,46.384498596191406,33.291839599609375,-4.228827953338623,1.61941397190094,1.1411348581314087,-0.050229452550411224,28.93871518993231,False,False
62,47.200965881347656,33.866943359375,-4.25420618057251,1.6193352937698364,1.141247034072876,-0.05031704157590866,27.93971513337572,False,False
63,48.01702117919922,34.44244384765625,-4.279600620269775,1.6192479133605957,1.1413618326187134,-0.050406429916620255,26.940821935037917,False,False
64,48.832847595214844,35.0179443359375,-4.305065631866455,1.6191682815551758,1.1414721012115479,-0.05050079524517059,25.94211376554506,False,False
65,49.64867401123047,35.59344482421875,-4.330540180206299,1.619092583656311,1.1415706872940063,-0.05059700086712837,24.9434055009398,False,False
66,50.464500427246094,36.1689453125,-4.356090068817139,1.6190178394317627,1.1416685581207275,-0.050699662417173386,23.944695390110095,False,False
67,51.28032684326172,36.74444580078125,-4.381711483001709,1.618941307067871,1.1417728662490845,-0.05080485716462135,22.945983546446328,False,False
68,52.096153259277344,37.3199462890625,-4.407346248626709,1.6188627481460571,1.1418836116790771,-0.0509130097925663,21.94727155471864,False,False
69,52.91197967529297,37.89544677734375,-4.433056354522705,1.6187732219696045,1.1419998407363892,-0.05102968215942383,20.948557765031595,False,False
70,53.727806091308594,38.470947265625,-4.4588422775268555,1.618678092956543,1.142128825187683,-0.05115067586302757,19.949842185707777,False,False
71,54.54363250732422,39.04644775390625,-4.484701156616211,1.618574619293213,1.1422686576843262,-0.05127546191215515,18.951124921084308,False,False
72,55.359458923339844,39.6219482421875,-4.510576248168945,1.6184613704681396,1.142421007156372,-0.05140615999698639,17.95240755202669,False,False
73,56.17528533935547,40.19786834716797,-4.536528587341309,1.6183342933654785,1.1425914764404297,-0.051549579948186874,16.953445848500632,False,False
74,56.991111755371094,40.774009704589844,-4.562560081481934,1.6182032823562622,1.1427704095840454,-0.051701825112104416,15.954354389149051,False,False
75,57.80693817138672,41.35015106201172,-4.5886712074279785,1.6180692911148071,1.1429533958435059,-0.05186288058757782,14.955261107115517,False,False
76,58.62229919433594,41.926292419433594,-4.61486291885376,1.6179252862930298,1.1431444883346558,-0.05203469842672348,13.956545428256161,False,False
77,59.43748474121094,42.50243377685547,-4.641192436218262,1.617775559425354,1.1433484554290771,-0.052218399941921234,12.957969390703797,False,False
78,59.4405632019043,42.500484466552734,-4.64591121673584,0.6942331194877625,0.37949904799461365,-0.16792717576026917,12.956458528310426,True,False
