step,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dist_to_goal,has_collided,is_out_of_bounds
1,-0.846606969833374,-0.30748483538627625,-2.57269024848938,0.044470030814409256,-0.0674077719449997,0.06648330390453339,77.09524751121168,False,False
2,-0.6165984272956848,-0.25999343395233154,-2.680718183517456,0.8387972116470337,0.27087295055389404,-0.20849846303462982,76.86189071450848,False,False
3,-0.05525444447994232,-0.05323613062500954,-2.7471837997436523,1.337211012840271,0.5254624485969543,-0.08046093583106995,76.26277504809322,False,False
4,0.6899515390396118,0.2491716891527176,-2.7777533531188965,1.589821696281433,0.6591042876243591,-0.05030372366309166,75.45815385365431,False,False
5,1.525560736656189,0.5997955203056335,-2.802089214324951,1.7111258506774902,0.7243558764457703,-0.048062194138765335,74.55167112613229,False,False
6,2.40427303314209,0.9737244844436646,-2.826876163482666,1.7686384916305542,0.7556392550468445,-0.050382889807224274,73.59639557540727,False,False
7,3.303384780883789,1.358795404434204,-2.852874517440796,1.795816421508789,0.770559549331665,-0.05259611830115318,72.61795391092866,False,False
8,4.212129592895508,1.7491743564605713,-2.87980318069458,1.8086472749710083,0.7776577472686768,-0.05408887192606926,71.62854372941162,False,False
9,5.125422954559326,2.142075777053833,-2.907329559326172,1.8147039413452148,0.7810254693031311,-0.05501271039247513,70.63394338708196,False,False
10,6.040863990783691,2.5361716747283936,-2.9352195262908936,1.8175652027130127,0.7826151251792908,-0.055572494864463806,69.63688867066098,False,False
11,6.957320213317871,2.930828809738159,-2.963329792022705,1.8189197778701782,0.7833565473556519,-0.055913861840963364,68.63867371351157,False,False
12,7.874258041381836,3.32574462890625,-2.9915778636932373,1.8195645809173584,0.7836935520172119,-0.05612685903906822,67.63991035615541,False,False
13,8.791430473327637,3.7207775115966797,-3.0199131965637207,1.8198752403259277,0.7838378548622131,-0.05626596137881279,66.6408828111215,False,False
14,9.708674430847168,4.115859031677246,-3.0483057498931885,1.8200277090072632,0.7838900089263916,-0.05636213719844818,65.64176873759182,False,False
