step,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dist_to_goal,has_collided,is_out_of_bounds
1,0.0,0.0,-2.968480348587036,0.0,0.0,-0.010251443833112717,94.8900788918108,False,False
2,0.14629286527633667,-0.04875798895955086,-3.0571706295013428,0.6870755553245544,-0.2279719114303589,-0.2261052280664444,94.73404968552477,False,False
3,0.6568287014961243,-0.21813121438026428,-3.127885341644287,1.2822092771530151,-0.4258924424648285,-0.07593099772930145,94.19483414355433,False,False
4,1.3904199600219727,-0.4623177945613861,-3.1524527072906494,1.5924047231674194,-0.5310489535331726,-0.033700402826070786,93.42133469357819,False,False
5,2.2353649139404297,-0.7445273995399475,-3.1675727367401123,1.7421303987503052,-0.582595705986023,-0.02877858839929104,92.53038224572838,False,False
6,3.1335227489471436,-1.0451538562774658,-3.1825056076049805,1.8131247758865356,-0.6073232293128967,-0.030717745423316956,91.5831385740886,False,False
7,4.056852340698242,-1.3545855283737183,-3.198596715927124,1.8466391563415527,-0.6191092133522034,-0.032975371927022934,90.60921285184897,False,False
8,4.992056369781494,-1.6682082414627075,-3.215656280517578,1.8624390363693237,-0.624705970287323,-0.03455282375216484,89.62268009269074,False,False
9,5.93285608291626,-1.9838162660598755,-3.2333505153656006,1.8698872327804565,-0.627350389957428,-0.03553778678178787,88.63019963754522,False,False
10,6.876294136047363,-2.300359010696411,-3.2514336109161377,1.8734021186828613,-0.6285874247550964,-0.036133695393800735,87.63491354426189,False,False
11,7.820979118347168,-2.617335319519043,-3.269752025604248,1.8750629425048828,-0.6291533708572388,-0.03649434447288513,86.63830305427093,False,False
12,8.766256332397461,-2.934506893157959,-3.2882134914398193,1.8758528232574463,-0.629399299621582,-0.03671589493751526,85.641066319968,False,False
13,9.711811065673828,-3.251760244369507,-3.3067641258239746,1.8762322664260864,-0.6294923424720764,-0.03685709089040756,84.64353879714827,False,False
14,10.657516479492188,-3.569030523300171,-3.325376033782959,1.876418948173523,-0.6295123100280762,-0.036951545625925064,83.64586184688709,False,False
15,11.603279113769531,-3.886300802230835,-3.3440306186676025,1.8765145540237427,-0.6294966340065002,-0.03701895475387573,82.6481298402874,False,False
16,12.549041748046875,-4.203545570373535,-3.3626959323883057,1.8765666484832764,-0.6294640898704529,-0.037071436643600464,81.65040575462805,False,False
17,13.494804382324219,-4.52077579498291,-3.3814001083374023,1.8766003847122192,-0.6294249296188354,-0.03711572661995888,80.65268556097594,False,False
18,14.440567016601562,-4.838006019592285,-3.40012526512146,1.8766204118728638,-0.6293789148330688,-0.037155359983444214,79.65496502422216,False,False
