step,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dist_to_goal,has_collided,is_out_of_bounds
1,-0.8429773449897766,0.3231238126754761,-2.5810043811798096,0.027989061549305916,0.14010944962501526,0.0788346454501152,105.33114191617236,False,False
2,-0.6053644418716431,0.32639995217323303,-2.68558931350708,0.8736081123352051,-0.14078426361083984,-0.19436581432819366,105.10226631888932,False,False
3,-0.02048398368060589,0.1962447464466095,-2.7443320751190186,1.3933794498443604,-0.3556162118911743,-0.064419224858284,104.50358104344726,False,False
4,0.7560499906539917,-0.014853316359221935,-2.766911506652832,1.6566959619522095,-0.46901217103004456,-0.03440425172448158,103.69887810056646,False,False
5,1.6268366575241089,-0.26691117882728577,-2.7832672595977783,1.7832125425338745,-0.5245131254196167,-0.03218048810958862,102.79226498572525,False,False
6,2.5425915718078613,-0.5388052463531494,-2.8000526428222656,1.8432419300079346,-0.5511621236801147,-0.03451499342918396,101.83687064234701,False,False
7,3.479645252227783,-0.8201960921287537,-2.818049192428589,1.8716305494308472,-0.5638881325721741,-0.036724843084812164,100.85832016281192,False,False
8,4.4267659187316895,-1.1061168909072876,-2.8369736671447754,1.8850412368774414,-0.5699515342712402,-0.038208428770303726,99.86880512347909,False,False
9,5.3786420822143555,-1.3941941261291504,-2.856489658355713,1.891374945640564,-0.5728341341018677,-0.03912193328142166,98.87410247625014,False,False
10,6.332763195037842,-1.6832953691482544,-2.876365900039673,1.894365668296814,-0.5741994976997375,-0.039671771228313446,97.8769474065179,False,False
11,7.2879438400268555,-1.9728800058364868,-2.8964574337005615,1.8957798480987549,-0.5748412013053894,-0.04000289365649223,96.87863388748566,False,False
12,8.243637084960938,-2.262691020965576,-2.916682004928589,1.8964494466781616,-0.575137734413147,-0.040206313133239746,95.87976146540711,False,False
13,9.199562072753906,-2.5526041984558105,-2.9369845390319824,1.8967678546905518,-0.5752695798873901,-0.040335215628147125,94.88063604792333,False,False
14,10.15557861328125,-2.842557430267334,-2.9573416709899902,1.8969204425811768,-0.5753223299980164,-0.04042176902294159,93.88141027004062,False,False
15,11.11164665222168,-3.132535219192505,-2.977729320526123,1.8969961404800415,-0.5753380656242371,-0.04048357531428337,92.88212746986626,False,False
16,12.06782341003418,-3.4225285053253174,-2.998154878616333,1.897033452987671,-0.5753341913223267,-0.04053126648068428,91.88273534668625,False,False
17,13.02400016784668,-3.7124924659729004,-3.018587827682495,1.8970534801483154,-0.5753241777420044,-0.04057098925113678,90.88335157415176,False,False
18,13.98017692565918,-4.002446174621582,-3.039055585861206,1.8970683813095093,-0.5753072500228882,-0.04060676321387291,89.88397003715228,False,False
19,14.93635368347168,-4.29242467880249,-3.059523344039917,1.8970683813095093,-0.5752880573272705,-0.04063979536294937,88.88458135813428,False,False
20,15.89253044128418,-4.582337856292725,-3.080028533935547,1.8970764875411987,-0.5752686262130737,-0.040671832859516144,87.88521078573152,False,False
21,16.84870719909668,-4.872251033782959,-3.100536346435547,1.8970801830291748,-0.5752485990524292,-0.04070292413234711,86.88584018551003,False,False
22,17.80488395690918,-5.162164211273193,-3.1210765838623047,1.897086501121521,-0.5752290487289429,-0.04073411598801613,85.88646890639197,False,False
23,18.76106071472168,-5.452077388763428,-3.1416244506835938,1.8970918655395508,-0.5752092003822327,-0.04076533019542694,84.88709749076531,False,False
