step,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dist_to_goal,has_collided,is_out_of_bounds
1,-0.9104917049407959,0.3085709810256958,-2.581317186355591,-0.17470620572566986,0.29632171988487244,0.06543359905481339,124.6748030108548,False,False
2,-0.7664750218391418,0.40542072057724,-2.70721173286438,0.7348396182060242,0.034596655517816544,-0.2534267008304596,124.55636465646273,False,False
3,-0.23037663102149963,0.35308101773262024,-2.7827982902526855,1.3326865434646606,-0.2198323756456375,-0.0770975798368454,124.02245351357966,False,False
4,0.5278540253639221,0.2040901929140091,-2.8068649768829346,1.639839768409729,-0.3556991517543793,-0.03129476681351662,123.2505195502074,False,False
5,1.3962101936340332,0.0061357831582427025,-2.82049560546875,1.7877936363220215,-0.4217650592327118,-0.02543306164443493,122.36003179337504,False,False
6,2.317136526107788,-0.21533238887786865,-2.833639144897461,1.857918620109558,-0.45318105816841125,-0.02702663652598858,121.41283251565422,False,False
7,3.2629222869873047,-0.4479488134384155,-2.847820281982422,1.8910115957260132,-0.468041330575943,-0.029122766107320786,120.43878494839512,False,False
8,4.220431804656982,-0.685836136341095,-2.8629114627838135,1.9066022634506226,-0.47506773471832275,-0.030612699687480927,119.4520647035514,False,False
9,5.1834588050842285,-0.9262177348136902,-2.878603458404541,1.9139398336410522,-0.4783984422683716,-0.0315462201833725,118.4593739239489,False,False
10,6.149082183837891,-1.1677844524383545,-2.8946640491485596,1.9173896312713623,-0.4799879491329193,-0.032109957188367844,117.463869255314,False,False
11,7.115926265716553,-1.4099204540252686,-2.9109461307525635,1.9190088510513306,-0.4807571768760681,-0.0324491523206234,116.46703781482948,False,False
12,8.083341598510742,-1.652334451675415,-2.9273629188537598,1.9197651147842407,-0.4811403453350067,-0.03265504539012909,115.46958211696034,False,False
13,9.051019668579102,-1.894890308380127,-2.9438586235046387,1.9201154708862305,-0.4813419282436371,-0.032784003764390945,114.47183559601088,False,False
14,10.018839836120605,-2.137525796890259,-2.9604074954986572,1.9202743768692017,-0.4814584255218506,-0.03286847844719887,113.47393091497388,False,False
15,10.986712455749512,-2.38020658493042,-2.976989984512329,1.9203431606292725,-0.4815347194671631,-0.03292723000049591,112.47596373901102,False,False
16,11.954585075378418,-2.622922420501709,-2.9936089515686035,1.9203698635101318,-0.48159259557724,-0.03297058120369911,111.47798737000383,False,False
17,12.922457695007324,-2.865657329559326,-3.0102314949035645,1.9203741550445557,-0.4816412925720215,-0.03300585225224495,110.48000632213173,False,False
18,13.89033031463623,-3.108426570892334,-3.0268898010253906,1.9203741550445557,-0.48168689012527466,-0.03303665667772293,109.4820162679122,False,False
19,14.858202934265137,-3.351210832595825,-3.0435523986816406,1.9203736782073975,-0.48173025250434875,-0.03306462988257408,108.48402251722432,False,False
20,15.826075553894043,-3.594020128250122,-3.0602149963378906,1.9203578233718872,-0.48177313804626465,-0.03309129551053047,107.48602268830437,False,False
21,16.794078826904297,-3.83685040473938,-3.0769147872924805,1.9203464984893799,-0.48181644082069397,-0.03311733901500702,106.48789047899561,False,False
22,17.761920928955078,-4.079712867736816,-3.0936174392700195,1.9203346967697144,-0.48185965418815613,-0.033143121749162674,105.48990658647897,False,False
23,18.729633331298828,-4.322602272033691,-3.1103200912475586,1.9203225374221802,-0.481903076171875,-0.03316841274499893,104.4920418474579,False,False
24,19.697345733642578,-4.565491676330566,-3.1270594596862793,1.9203108549118042,-0.4819463789463043,-0.033194348216056824,103.49417651641463,False,False
25,20.665058135986328,-4.808381080627441,-3.1438021659851074,1.92029869556427,-0.48198994994163513,-0.03321995586156845,102.49631119852494,False,False
26,21.632770538330078,-5.051345348358154,-3.1605448722839355,1.920287847518921,-0.4820346534252167,-0.03324548155069351,101.49842755461088,False,False
27,22.600482940673828,-5.294314861297607,-3.177323818206787,1.9202759265899658,-0.48207947611808777,-0.0332721509039402,100.50054203847036,False,False
28,23.568195343017578,-5.5372843742370605,-3.1941065788269043,1.9202635288238525,-0.48212453722953796,-0.03329779952764511,99.502656528547,False,False
29,24.535907745361328,-5.780288219451904,-3.2108893394470215,1.920250415802002,-0.48217037320137024,-0.03332427516579628,98.50476265486196,False,False
30,25.503620147705078,-6.0233378410339355,-3.227708101272583,1.9202373027801514,-0.48221656680107117,-0.033351268619298935,97.50685694887667,False,False
31,26.471332550048828,-6.266387462615967,-3.2445309162139893,1.920225977897644,-0.48226290941238403,-0.03337792307138443,96.508951246723,False,False
32,27.439044952392578,-6.509437084197998,-3.2613537311553955,1.920212745666504,-0.4823097884654999,-0.033405568450689316,95.511045624444,False,False
33,28.406757354736328,-6.752565383911133,-3.2782132625579834,1.9201995134353638,-0.4823572039604187,-0.03343309462070465,94.51312006315688,False,False
34,29.374469757080078,-6.995695114135742,-3.2950761318206787,1.920186161994934,-0.482404887676239,-0.03346078097820282,93.51519416912141,False,False
35,30.342182159423828,-7.238824844360352,-3.311939001083374,1.9201737642288208,-0.48245298862457275,-0.03348903730511665,92.51726835751101,False,False
36,31.309894561767578,-7.4820075035095215,-3.3288395404815674,1.9201595783233643,-0.48250246047973633,-0.03351769596338272,91.51932892016988,False,False
37,32.27760696411133,-7.725217342376709,-3.3457424640655518,1.9201459884643555,-0.4825526475906372,-0.03354622423648834,90.52138283512068,False,False
38,33.24531936645508,-7.9684271812438965,-3.362645387649536,1.9201321601867676,-0.48260313272476196,-0.03357548639178276,89.52343683540703,False,False
39,34.21303176879883,-8.211637496948242,-3.379587173461914,1.920118808746338,-0.48265424370765686,-0.03360532596707344,88.5254900951919,False,False
40,35.18074417114258,-8.45484733581543,-3.3965301513671875,1.9201042652130127,-0.48270583152770996,-0.03363516181707382,87.52754354053161,False,False
41,36.14845657348633,-8.698209762573242,-3.4135076999664307,1.9200888872146606,-0.4827583134174347,-0.03366529569029808,86.52955888103153,False,False
42,37.11616897583008,-8.941579818725586,-3.430490732192993,1.9200758934020996,-0.48281094431877136,-0.0336952805519104,85.53157232926324,False,False
43,38.08388137817383,-9.18494987487793,-3.4474737644195557,1.920061469078064,-0.48286372423171997,-0.03372626006603241,84.53358586673468,False,False
44,39.05159378051758,-9.428319931030273,-3.464494228363037,1.920046329498291,-0.4829178750514984,-0.03375759720802307,83.53559880858649,False,False
45,40.01930618286133,-9.671689987182617,-3.4815173149108887,1.9200308322906494,-0.4829728603363037,-0.03378891199827194,82.53761179676215,False,False
46,40.98701858520508,-9.915069580078125,-3.4985733032226562,1.9200153350830078,-0.4830285906791687,-0.03382018581032753,81.53962192795369,False,False
47,41.95473098754883,-10.158599853515625,-3.515636444091797,1.9199998378753662,-0.4830852448940277,-0.033851686865091324,80.54159490700994,False,False
48,42.92244338989258,-10.402130126953125,-3.5326995849609375,1.9199851751327515,-0.4831421673297882,-0.03388410806655884,79.54356798040409,False,False
49,43.89015579223633,-10.645660400390625,-3.549800157546997,1.9199694395065308,-0.4831993579864502,-0.03391719609498978,78.54554046061506,False,False
