step,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dist_to_goal,has_collided,is_out_of_bounds
1,0.0,0.0,-2.9624505043029785,0.0,0.0,-0.011132289655506611,20.000035249084615,False,False
2,0.1534905582666397,-5.5087684414090177e-11,-3.03348970413208,0.7228042483329773,-3.980630824962361e-10,-0.18635140359401703,19.846537697570685,False,False
3,0.6907039880752563,-4.1986511489788825e-10,-3.0817697048187256,1.349974274635315,-8.22323598104191e-10,-0.030753985047340393,19.309469147564855,False,False
4,1.4631993770599365,-5.604651742707745e-10,-3.081878423690796,1.6772745847702026,5.856581331009636e-10,0.015181247144937515,18.53698145359425,False,False
5,2.3533096313476562,4.909063711089345e-10,-3.0723249912261963,1.8354434967041016,3.910069157342377e-09,0.020084455609321594,17.64683858008123,False,False
6,3.2996294498443604,3.738027221089624e-09,-3.062955141067505,1.9104214906692505,9.342441487092401e-09,0.017335230484604836,16.70048921026844,False,False
7,4.272524356842041,1.027829377164835e-08,-3.055122137069702,1.945786714553833,1.697585005899782e-08,0.014370993711054325,15.72757223973624,False,False
8,5.257941246032715,2.1222117396746398e-08,-3.0485453605651855,1.962441086769104,2.6820881515732253e-08,0.012262859381735325,14.742138683293406,False,False
9,6.2492547035217285,3.769084955251856e-08,-3.0428202152252197,1.9702801704406738,3.890353994506768e-08,0.010872704908251762,13.75081196800579,False,False
10,7.24334192276001,6.081081238562547e-08,-3.0376579761505127,1.973969578742981,5.320709561829062e-08,0.009944837540388107,12.756713660766241,False,False
11,8.238737106323242,9.169595216462767e-08,-3.0328831672668457,1.9757051467895508,6.971966826085918e-08,0.009289827197790146,11.761308862404187,False,False
12,9.234745025634766,1.3145947264092683e-07,-3.028392791748047,1.9765217304229736,8.843159093885333e-08,0.008785875514149666,10.76529241654488,False,False
13,10.231049537658691,1.812007042190089e-07,-3.024139165878296,1.9769067764282227,1.0930515514928629e-07,0.00835780706256628,9.76898028634554,False,False
14,11.227447509765625,2.420034661554382e-07,-3.020099639892578,1.9770883321762085,1.3232921958206134e-07,0.007960057817399502,8.772575516314534,False,False
15,12.2239990234375,3.149533824853279e-07,-3.016266107559204,1.977173924446106,1.575011339127741e-07,0.0075621274299919605,7.776017989546847,False,False
16,13.220550537109375,4.011214969068533e-07,-3.0126376152038574,1.9772149324417114,1.847732278292824e-07,0.00713944248855114,6.7794612418101625,False,False
17,14.21710205078125,5.015618853576598e-07,-3.0092461109161377,1.9772367477416992,2.1413988804397377e-07,0.006668230518698692,5.78290534088582,False,False
18,15.213653564453125,6.173303859213775e-07,-3.006129026412964,1.9772427082061768,2.4559594180573185e-07,0.006125517189502716,4.786350359724769,False,False
19,16.210205078125,7.494777491956484e-07,-3.003328323364258,1.9772460460662842,2.791268229884736e-07,0.005477251019328833,3.789796383396675,False,False
20,17.206756591796875,8.990436413114367e-07,-3.000932216644287,1.9772491455078125,3.1471310535380326e-07,0.004659073427319527,2.7932435637621884,False,False
21,18.20330810546875,1.0670636356735486e-06,-2.999077558517456,1.9772526025772095,3.523514351400081e-07,0.0035500258672982454,1.796692131327379,False,False
