step,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dist_to_goal,has_collided,is_out_of_bounds
1,-0.9462493658065796,0.36890020966529846,-2.57322359085083,-0.32545679807662964,0.273513525724411,0.05165509134531021,99.53269624392475,False,False
2,-0.8917903900146484,0.4227777421474457,-2.7182466983795166,0.5642242431640625,-0.11703738570213318,-0.3165065050125122,99.5013814920319,False,False
3,-0.4353967010974884,0.27008458971977234,-2.8153133392333984,1.1864320039749146,-0.4578137993812561,-0.10307886451482773,99.02026835529074,False,False
4,0.2535160779953003,-0.011399549432098866,-2.8481976985931396,1.5093625783920288,-0.6382967233657837,-0.04369421303272247,98.27588613440302,False,False
5,1.0582730770111084,-0.35793280601501465,-2.867027997970581,1.664900779724121,-0.726148247718811,-0.03458179533481598,97.39955774549178,False,False
6,1.918213129043579,-0.7357887029647827,-2.8845460414886475,1.738336205482483,-0.7681035399436951,-0.035420048981904984,96.46011928568925,False,False
7,2.8041296005249023,-1.1285650730133057,-2.902907371520996,1.772820234298706,-0.7880484461784363,-0.03735259920358658,95.49086901634858,False,False
8,3.7022323608398438,-1.5284287929534912,-2.922138214111328,1.7889838218688965,-0.7975134253501892,-0.03881451487541199,94.5075869983071,False,False
9,4.6060471534729,-1.9316540956497192,-2.941965103149414,1.7965565919876099,-0.8019986748695374,-0.03974976763129234,93.51770768300949,False,False
10,5.512537479400635,-2.33647084236145,-2.962163209915161,1.8001044988632202,-0.8041189908981323,-0.04032142832875252,92.52472929201681,False,False
11,6.420282363891602,-2.7420382499694824,-2.9825873374938965,1.8017688989639282,-0.8051156997680664,-0.04066780209541321,91.53029480859976,False,False
12,7.328615188598633,-3.1479568481445312,-3.003147602081299,1.802551507949829,-0.8055789470672607,-0.040880896151065826,90.53517753116793,False,False
13,8.237227439880371,-3.5540361404418945,-3.0237956047058105,1.8029223680496216,-0.805788516998291,-0.0410156287252903,89.53973778262949,False,False
14,9.145979881286621,-3.960184097290039,-3.0444979667663574,1.8031001091003418,-0.8058775067329407,-0.04110525920987129,88.54414090079882,False,False
15,10.054732322692871,-4.366338729858398,-3.065241813659668,1.8031877279281616,-0.8059089779853821,-0.04116961359977722,87.54854041473843,False,False
16,10.963610649108887,-4.772489547729492,-3.0860185623168945,1.8032344579696655,-0.805912971496582,-0.04121897369623184,86.55282583043882,False,False
17,11.872523307800293,-5.178640365600586,-3.106806755065918,1.8032578229904175,-0.8059040904045105,-0.041258007287979126,85.55707967048112,False,False
18,12.7814359664917,-5.58479118347168,-3.127626419067383,1.803277850151062,-0.8058878779411316,-0.04129308462142944,84.56133284255189,False,False
19,13.690348625183105,-5.990942001342773,-3.1484546661376953,1.8032903671264648,-0.8058687448501587,-0.041325394064188004,83.56558585342098,False,False
20,14.599261283874512,-6.397092819213867,-3.169282913208008,1.8032963275909424,-0.8058487176895142,-0.041356660425662994,82.56983889405275,False,False
21,15.508173942565918,-6.803243637084961,-3.1901488304138184,1.8033071756362915,-0.8058286905288696,-0.04138777405023575,81.57409112975644,False,False
22,16.41701316833496,-7.209394454956055,-3.21101713180542,1.8033138513565063,-0.8058086633682251,-0.041418202221393585,80.57841040118842,False,False
23,17.32576560974121,-7.615545272827148,-3.2319176197052,1.8033275604248047,-0.8057886362075806,-0.04144921898841858,79.58280824078835,False,False
24,18.23451805114746,-8.021696090698242,-3.252825975418091,1.8033374547958374,-0.8057639002799988,-0.04147984832525253,78.58720593925527,False,False
25,19.14327049255371,-8.427846908569336,-3.2737343311309814,1.803349256515503,-0.8057385087013245,-0.04151088371872902,77.59160367256023,False,False
26,20.05202293395996,-8.83399772644043,-3.294679641723633,1.8033579587936401,-0.8057125210762024,-0.04154251143336296,76.59600061929562,False,False
27,20.604829788208008,-9.080385208129883,-3.307366132736206,1.419522762298584,-0.5853772759437561,-0.03039257787168026,75.99063914068512,True,False
