step,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dist_to_goal,has_collided,is_out_of_bounds
1,-3.8743017682918435e-08,-4.619359827984226e-08,-2.950782299041748,0.0,0.0,-0.01106309425085783,123.71014226696464,False,False
2,0.1495988816022873,-0.037442632019519806,-3.0351383686065674,0.7016867399215698,-0.17438742518424988,-0.21572425961494446,123.554579735034,False,False
3,0.6712347865104675,-0.16683751344680786,-3.1010630130767822,1.3106632232666016,-0.3250442445278168,-0.06666399538516998,123.01616866495841,False,False
4,1.42146635055542,-0.35295969247817993,-3.1211042404174805,1.6291357278823853,-0.40424618124961853,-0.024741049855947495,122.24297890154536,False,False
5,2.286142110824585,-0.5674931406974792,-3.1317410469055176,1.7832084894180298,-0.44233429431915283,-0.019881250336766243,121.35203002295303,False,False
6,3.2056186199188232,-0.795500636100769,-3.142195463180542,1.8563966751098633,-0.4601896107196808,-0.021847356110811234,120.40465831000422,False,False
7,4.151064872741699,-1.029800534248352,-3.1538150310516357,1.8910019397735596,-0.4685029089450836,-0.024111919105052948,119.43055147718573,False,False
8,5.1087751388549805,-1.267029047012329,-3.166404962539673,1.9073373079299927,-0.4723721742630005,-0.02568783611059189,118.44382314262242,False,False
9,6.072275638580322,-1.5056226253509521,-3.1796298027038574,1.915041446685791,-0.47418084740638733,-0.026672182604670525,117.45113736271665,False,False
10,7.0385050773620605,-1.744856834411621,-3.193241596221924,1.918670654296875,-0.47503671050071716,-0.027260806411504745,116.45564317110045,False,False
11,8.006020545959473,-1.984397053718567,-3.207082748413086,1.9203776121139526,-0.4754525423049927,-0.027614010497927666,115.45882380600791,False,False
12,8.97413444519043,-2.224088430404663,-3.2210655212402344,1.9211771488189697,-0.4756656885147095,-0.027828868478536606,114.46138516371515,False,False
13,9.94254207611084,-2.4638640880584717,-3.2351338863372803,1.9215489625930786,-0.47578558325767517,-0.027962710708379745,113.46363989414716,False,False
14,10.911055564880371,-2.703686237335205,-3.2492592334747314,1.921718955039978,-0.47586238384246826,-0.028049953281879425,112.46577984538244,False,False
15,11.885396957397461,-2.94496488571167,-3.263505697250366,1.9217935800552368,-0.4759202003479004,-0.02811090461909771,111.46191155977175,False,False
16,12.854070663452148,-3.1848502159118652,-3.2776849269866943,1.9218218326568604,-0.47596919536590576,-0.02815583162009716,110.46388007193264,False,False
