step,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dist_to_goal,has_collided,is_out_of_bounds
1,0.0,0.0,-2.9622926712036133,0.0,0.0,-0.010788126848638058,111.80340523366291,False,False
2,0.13725951313972473,-0.06861487030982971,-3.031897783279419,0.6466665863990784,-0.3218618631362915,-0.1829589605331421,111.64994928787037,False,False
3,0.61835777759552,-0.30800485610961914,-3.0811920166015625,1.2088679075241089,-0.6021247506141663,-0.03360409289598465,111.11260857502174,False,False
4,1.3101495504379272,-0.6532105207443237,-3.0846502780914307,1.5018858909606934,-0.7506383061408997,0.008027035742998123,110.33947335082077,False,False
5,2.1071386337280273,-1.0520471334457397,-3.078808307647705,1.6433781385421753,-0.8232374787330627,0.012714318931102753,109.44825538605865,False,False
6,2.9544336795806885,-1.47679603099823,-3.0728914737701416,1.7105268239974976,-0.8579816222190857,0.010569236241281033,108.50045428031719,False,False
7,3.8255455493927,-1.9139047861099243,-3.068206548690796,1.7422581911087036,-0.8745080232620239,0.008198035880923271,107.52582431176486,False,False
8,4.7079057693481445,-2.356884717941284,-3.0645322799682617,1.7572360038757324,-0.8823475241661072,0.00655896682292223,106.53850862978197,False,False
9,5.595573425292969,-2.802647352218628,-3.0615153312683105,1.7643048763275146,-0.8860557079315186,0.005541033111512661,105.54520187101954,False,False
10,6.485747814178467,-3.2497239112854004,-3.058899402618408,1.7676445245742798,-0.887800931930542,0.004927042406052351,104.54906573176106,False,False
11,7.377107620239258,-3.697415590286255,-3.0565240383148193,1.7692267894744873,-0.8886128067970276,0.004557327833026648,103.55159443860975,False,False
12,8.26904010772705,-4.1453962326049805,-3.0542941093444824,1.7699811458587646,-0.8889815211296082,0.0043306355364620686,102.55348183885759,False,False
13,9.161233901977539,-4.593500137329102,-3.052157163619995,1.7703449726104736,-0.8891394734382629,0.004187423270195723,101.5550805049146,False,False
14,10.053556442260742,-5.041627883911133,-3.050072431564331,1.7705249786376953,-0.8891972899436951,0.004091924987733364,100.55655343766857,False,False
15,10.945966720581055,-5.4898176193237305,-3.048029661178589,1.7706186771392822,-0.8892068266868591,0.00402393564581871,99.55792025620701,False,False
16,11.838376998901367,-5.93798303604126,-3.0460243225097656,1.7706708908081055,-0.8891922235488892,0.003972021862864494,98.5592980259006,False,False
17,12.73078727722168,-6.386110782623291,-3.0440423488616943,1.7707056999206543,-0.8891691565513611,0.003929117228835821,97.56069270791201,False,False
18,13.623197555541992,-6.834238529205322,-3.0420796871185303,1.7707257270812988,-0.8891400098800659,0.003891032887622714,96.56208745974031,False,False
19,14.515607833862305,-7.2823662757873535,-3.040117025375366,1.7707457542419434,-0.8891099691390991,0.003855425864458084,95.56348227427534,False,False
